round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
1,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
3,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.42518,0.49409,0.49645,0.39661,0.42518,0.42518,0.42518
4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
4,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.39074,0.19537,0.5,0.28096,0.39074,0.39074,0.39074
6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,0.39074,0.19537,0.5,0.28096,0.39074,0.39074,0.39074
7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
7,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
8,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
9,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
9,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,0.60926,0.30463,0.5,0.3786,0.60926,0.60926,0.60926
10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
