round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.00847,0.00424,0.5,0.0084,0.00847,0.00847,0.00847
1,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.39074,0.19537,0.5,0.28096,0.39074,0.39074,0.39074
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.00847,0.00424,0.5,0.0084,0.00847,0.00847,0.00847
3,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.39074,0.19537,0.5,0.28096,0.39074,0.39074,0.39074
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.00847,0.00424,0.5,0.0084,0.00847,0.00847,0.00847
5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.39074,0.19537,0.5,0.28096,0.39074,0.39074,0.39074
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,5,0.99153,0.49576,0.5,0.49787,0.99153,0.99153,0.99153
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0.00847,0.00424,0.5,0.0084,0.00847,0.00847,0.00847
7,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.39074,0.19537,0.5,0.28096,0.39074,0.39074,0.39074
